Vino_ID;fixed acidity;volatile acidity;residual sugar;chlorides;total sulfur dioxide;density;alcohol;quality
Vino_2678;6.2;0.25;3.2;0.03;150.0;0.99014;12.0;6
Vino_2679;7.1;0.31;1.0;0.042;144.0;0.99304;9.6;5
Vino_2680;7.6;0.18;7.1;0.041;110.0;0.99652;9.2;6
Vino_2681;8.0;0.17;2.4;0.029;119.0;0.98944;12.9;6
Vino_2682;7.2;0.19;11.2;0.061;149.0;0.99772;9.3;6
Vino_2683;7.6;0.32;9.5;0.03;136.0;0.99367;12.1;6
Vino_2684;7.1;0.31;1.0;0.042;144.0;0.99304;9.6;5
Vino_2685;6.6;0.21;1.8;0.026;128.0;0.99183;11.2;6
Vino_2686;7.0;0.16;2.6;0.029;98.0;0.99126;11.2;7
Vino_2687;8.0;0.17;2.4;0.029;119.0;0.98944;12.9;6
Vino_2688;6.6;0.24;8.0;0.042;187.0;0.99577;9.2;5
Vino_2689;7.2;0.19;11.2;0.061;149.0;0.99772;9.3;6
Vino_2690;7.6;0.18;7.1;0.041;110.0;0.99652;9.2;6
Vino_2691;6.9;0.3;3.3;0.041;124.0;0.99428;9.3;6
Vino_2692;6.2;0.28;10.3;0.03;108.0;0.99388;10.7;6
Vino_2693;6.9;0.31;1.2;0.024;166.0;0.99208;9.8;6
Vino_2694;6.7;0.23;1.6;0.036;143.0;0.99256;10.3;6
Vino_2695;6.2;0.28;10.3;0.03;108.0;0.99388;10.7;6
Vino_2696;5.7;0.23;9.65;0.025;121.0;0.9925;11.3;6
Vino_2697;6.5;0.22;16.4;0.048;182.0;0.99904;8.8;6
Vino_2698;7.0;0.18;1.5;0.043;104.0;0.99216;10.8;5
Vino_2699;6.9;0.31;1.2;0.024;166.0;0.99208;9.8;6
Vino_2700;6.9;0.3;3.3;0.041;124.0;0.99428;9.3;6
Vino_2701;6.5;0.46;5.0;0.027;72.0;0.99165;11.5;7
Vino_2702;6.5;0.23;16.3;0.038;133.0;0.99924;8.8;5
Vino_2703;6.5;0.23;16.3;0.038;133.0;0.99924;8.8;5
Vino_2704;6.5;0.23;16.3;0.038;133.0;0.99924;8.8;5
Vino_2705;6.6;0.26;6.5;0.17;201.0;0.9956;9.4;6
Vino_2706;6.7;0.26;6.4;0.171;200.0;0.99562;9.4;6
Vino_2707;7.5;0.28;10.2;0.045;209.0;0.9972;9.6;6
Vino_2708;6.5;0.23;16.3;0.038;133.0;0.99924;8.8;5
Vino_2709;6.8;0.23;7.4;0.044;189.0;0.9958;9.3;6
Vino_2710;7.8;0.25;13.7;0.044;184.0;0.99976;8.9;5
Vino_2711;7.8;0.25;13.7;0.044;184.0;0.99976;8.9;5
Vino_2712;5.6;0.2;1.3;0.049;155.0;0.99296;10.0;5
Vino_2713;6.4;0.21;7.4;0.045;182.0;0.9957;9.1;5
Vino_2714;6.8;0.23;7.4;0.044;189.0;0.9958;9.3;6
Vino_2715;6.8;0.24;7.45;0.043;188.0;0.99579;9.4;6
Vino_2716;7.8;0.25;7.2;0.04;179.0;0.99541;10.1;6
Vino_2717;7.8;0.25;13.7;0.044;184.0;0.99976;8.9;5
Vino_2718;6.8;0.16;10.4;0.046;143.0;0.99518;10.8;6
Vino_2719;5.2;0.28;1.1;0.028;69.0;0.99168;10.0;6
Vino_2720;7.5;0.18;6.5;0.029;160.0;0.99276;10.9;6
Vino_2721;7.5;0.26;4.6;0.027;92.0;0.99085;12.0;7
Vino_2722;8.2;0.37;13.9;0.043;171.0;0.99873;9.3;5
Vino_2723;7.6;0.4;5.2;0.03;101.0;0.99172;12.3;7
Vino_2724;7.5;0.26;1.7;0.038;129.0;0.99312;10.4;6
Vino_2725;7.5;0.18;6.5;0.029;160.0;0.99276;10.9;6
Vino_2726;6.9;0.23;16.4;0.045;153.0;0.9972;10.5;5
Vino_2727;5.3;0.2;3.6;0.036;91.0;0.99278;9.8;6
Vino_2728;6.5;0.17;1.5;0.041;121.0;0.99092;10.5;6
Vino_2729;6.5;0.35;12.4;0.051;213.0;0.9962;9.9;6
Vino_2730;6.5;0.29;1.7;0.035;79.0;0.99053;11.4;7
Vino_2731;6.8;0.3;6.2;0.06;190.0;0.99858;9.2;5
Vino_2732;7.9;0.51;6.2;0.051;173.0;0.9984;9.7;5
Vino_2733;7.9;0.51;2.6;0.049;135.0;0.99335;10.0;5
Vino_2734;6.5;0.29;1.7;0.035;79.0;0.99053;11.4;7
Vino_2735;7.1;0.29;9.3;0.048;141.0;0.9949;10.3;6
Vino_2736;6.5;0.35;12.4;0.051;213.0;0.9962;9.9;6
Vino_2737;6.5;0.17;1.5;0.041;121.0;0.99092;10.5;6
Vino_2738;7.4;0.2;9.1;0.047;95.0;0.99532;9.8;7
Vino_2739;6.9;0.615;12.0;0.067;131.0;0.99727;9.3;5
Vino_2740;6.8;0.32;4.8;0.034;100.0;0.99026;12.4;7
Vino_2741;6.3;0.2;12.3;0.048;145.0;0.99668;9.3;6
Vino_2742;6.9;0.615;12.0;0.067;131.0;0.99727;9.3;5
Vino_2743;8.0;0.23;2.7;0.048;165.0;0.9952;9.5;6
Vino_2744;6.7;0.27;3.6;0.034;45.0;0.99144;10.5;6
Vino_2745;6.7;0.27;3.6;0.034;45.0;0.99144;10.5;6
Vino_2746;6.7;0.44;4.3;0.032;99.0;0.99015;12.8;7
Vino_2747;7.0;0.34;1.8;0.045;142.0;0.9914;10.8;6
Vino_2748;7.3;0.26;11.8;0.057;127.0;0.99693;10.0;6
Vino_2749;5.8;0.17;1.8;0.045;170.0;0.99035;11.8;8
Vino_2750;7.3;0.26;11.8;0.057;127.0;0.99693;10.0;6
Vino_2751;5.8;0.17;1.8;0.045;170.0;0.99035;11.8;8
Vino_2752;6.8;0.17;1.4;0.036;108.0;0.99006;12.0;6
Vino_2753;7.1;0.43;6.6;0.025;138.0;0.99126;12.6;6
Vino_2754;5.8;0.315;1.55;0.026;70.0;0.98994;11.9;8
Vino_2755;5.9;0.17;0.7;0.027;28.0;0.98985;10.6;5
Vino_2756;6.6;0.34;6.4;0.082;240.0;0.9971;9.2;5
Vino_2757;8.6;0.33;11.8;0.059;240.0;0.99882;10.0;6
Vino_2758;5.6;0.12;4.3;0.038;97.0;0.99477;9.2;5
Vino_2759;5.8;0.13;5.1;0.039;103.0;0.99478;9.3;6
Vino_2760;7.7;0.18;5.8;0.055;144.0;0.99576;10.2;6
Vino_2761;7.7;0.16;5.9;0.054;148.0;0.99578;10.2;6
Vino_2762;6.0;0.26;1.3;0.06;154.0;0.99354;8.7;5
Vino_2763;7.3;0.32;1.4;0.05;163.0;0.99244;10.7;5
Vino_2764;7.7;0.3;1.2;0.048;119.0;0.99084;12.1;6
Vino_2765;7.9;0.16;7.4;0.05;152.0;0.99612;9.5;6
Vino_2766;6.4;0.27;10.8;0.028;118.0;0.99356;11.2;6
Vino_2767;6.9;0.16;1.8;0.034;95.0;0.98952;12.0;6
Vino_2768;7.9;0.16;7.4;0.05;152.0;0.99612;9.5;6
Vino_2769;7.7;0.3;1.2;0.048;119.0;0.99084;12.1;6
Vino_2770;7.3;0.32;1.4;0.05;163.0;0.99244;10.7;5
Vino_2771;6.4;0.44;14.4;0.048;228.0;0.99955;8.8;7
Vino_2772;6.3;0.2;1.7;0.052;135.0;0.99374;10.8;6
Vino_2773;6.2;0.29;3.6;0.026;138.0;0.9892;13.1;7
Vino_2774;7.6;0.39;3.6;0.035;93.0;0.99144;12.5;7
Vino_2775;7.0;0.36;10.05;0.045;131.0;0.99352;11.7;8
Vino_2776;7.0;0.36;10.05;0.045;131.0;0.99352;11.7;8
Vino_2777;7.0;0.36;10.5;0.045;135.0;0.9935;11.6;8
Vino_2778;7.6;0.2;1.9;0.043;111.0;0.99237;11.3;6
Vino_2779;7.6;0.39;3.6;0.035;93.0;0.99144;12.5;7
Vino_2780;6.7;0.2;1.65;0.025;103.0;0.99022;11.4;5
Vino_2781;6.2;0.235;1.9;0.036;117.0;0.99032;12.2;5
Vino_2782;7.8;0.965;65.8;0.074;160.0;1.03898;11.7;6
Vino_2783;7.1;0.2;6.85;0.053;211.0;0.99587;10.4;6
Vino_2784;7.1;0.2;7.4;0.053;211.0;0.99587;10.4;6
Vino_2785;7.1;0.2;7.4;0.053;211.0;0.99587;10.4;6
Vino_2786;6.4;0.24;20.2;0.083;157.0;0.99976;9.1;5
Vino_2787;8.0;0.3;11.0;0.034;70.0;0.99354;12.2;6
Vino_2788;6.4;0.24;20.2;0.083;157.0;0.99976;9.1;5
Vino_2789;6.9;0.4;6.2;0.066;176.0;0.99552;9.4;5
Vino_2790;6.9;0.4;6.2;0.065;178.0;0.99552;9.4;5
Vino_2791;7.1;0.2;6.85;0.053;211.0;0.99587;10.4;6
Vino_2792;6.6;0.25;8.0;0.047;189.0;0.99604;9.2;5
Vino_2793;6.8;0.26;8.2;0.046;183.0;0.99584;9.4;5
Vino_2794;6.5;0.37;2.2;0.033;107.0;0.98894;13.5;7
Vino_2795;6.8;0.35;10.1;0.053;151.0;0.9963;9.4;5
Vino_2796;6.4;0.22;7.2;0.028;83.0;0.993;10.9;8
Vino_2797;6.5;0.37;2.2;0.033;107.0;0.98894;13.5;7
Vino_2798;6.8;0.35;10.1;0.053;151.0;0.9963;9.4;5
Vino_2799;6.9;0.31;1.6;0.036;114.0;0.99068;11.4;7
Vino_2800;6.7;0.16;1.3;0.036;125.0;0.98964;12.4;7
Vino_2801;6.6;0.25;8.0;0.047;189.0;0.99604;9.2;5
Vino_2802;6.8;0.26;8.2;0.046;183.0;0.99584;9.4;5
Vino_2803;5.6;0.15;5.3;0.038;79.0;0.9923;10.5;6
Vino_2804;5.5;0.15;14.0;0.031;99.0;0.99437;11.5;8
Vino_2805;6.4;0.22;7.2;0.028;83.0;0.993;10.9;8
Vino_2806;7.3;0.2;1.6;0.04;123.0;0.99238;10.8;6
Vino_2807;7.5;0.17;11.8;0.038;148.0;0.99801;8.9;5
Vino_2808;7.5;0.18;9.6;0.039;151.0;0.99802;8.9;5
Vino_2809;7.0;0.27;6.1;0.042;184.0;0.99566;9.4;6
Vino_2810;5.8;0.32;2.7;0.049;153.0;0.99067;12.2;7
Vino_2811;7.8;0.26;3.6;0.025;100.0;0.99066;12.1;7
Vino_2812;7.4;0.3;1.7;0.03;128.0;0.9929;10.9;5
Vino_2813;6.7;0.16;1.6;0.026;109.0;0.9934;10.1;6
Vino_2814;5.8;0.32;2.7;0.049;153.0;0.99067;12.2;7
Vino_2815;6.7;0.19;1.0;0.032;71.0;0.98912;13.0;7
Vino_2816;6.6;0.36;0.9;0.038;72.0;0.99066;11.0;5
Vino_2817;7.2;0.17;1.6;0.052;126.0;0.99228;10.8;5
Vino_2818;6.7;0.19;1.0;0.032;71.0;0.98912;13.0;7
Vino_2819;6.0;0.11;10.6;0.052;148.0;0.9958;9.3;4
Vino_2820;6.0;0.21;2.0;0.042;123.0;0.99052;11.4;6
Vino_2821;6.7;0.325;1.2;0.152;120.0;0.99312;9.2;5
Vino_2822;6.6;0.4;6.2;0.056;241.0;0.9968;9.9;5
Vino_2823;6.5;0.2;9.2;0.044;150.0;0.99502;10.5;5
Vino_2824;7.6;0.27;5.0;0.04;56.0;0.99084;12.4;6
Vino_2825;7.2;0.26;6.3;0.047;172.0;0.99573;9.5;6
Vino_2826;6.3;0.25;3.3;0.048;161.0;0.99256;10.5;6
Vino_2827;6.5;0.22;8.0;0.053;196.0;0.9959;9.1;6
Vino_2828;6.4;0.14;1.2;0.034;138.0;0.99084;11.5;7
Vino_2829;6.4;0.14;1.2;0.034;138.0;0.99084;11.5;7
Vino_2830;7.1;0.26;16.2;0.044;170.0;0.99644;11.2;5
Vino_2831;6.6;0.22;11.6;0.05;140.0;0.99526;10.8;5
Vino_2832;6.6;0.45;7.2;0.064;186.0;0.9954;9.4;5
Vino_2833;6.6;0.17;1.1;0.031;73.0;0.99095;11.0;6
Vino_2834;7.2;0.44;3.4;0.048;112.0;0.99188;11.3;7
Vino_2835;6.2;0.15;1.4;0.041;117.0;0.9909;11.2;6
Vino_2836;6.3;0.25;3.3;0.048;161.0;0.99256;10.5;6
Vino_2837;6.5;0.22;8.0;0.053;196.0;0.9959;9.1;6
Vino_2838;7.3;0.26;9.3;0.05;154.0;0.99581;10.4;6
Vino_2839;6.9;0.15;2.3;0.033;82.0;0.99132;11.2;7
Vino_2840;5.8;0.22;0.9;0.034;89.0;0.98936;11.1;7
Vino_2841;6.5;0.37;3.5;0.036;92.0;0.99136;11.2;6
Vino_2842;5.5;0.375;1.7;0.036;98.0;0.99142;10.5;6
Vino_2843;5.9;0.2;1.3;0.047;92.0;0.99232;10.0;6
Vino_2844;5.9;0.22;1.3;0.046;90.0;0.99232;10.0;6
Vino_2845;8.0;0.22;5.6;0.049;97.0;0.993;10.9;5
Vino_2846;6.5;0.22;7.4;0.028;87.0;0.99311;10.9;7
Vino_2847;6.9;0.15;2.3;0.033;82.0;0.99132;11.2;7
Vino_2848;5.8;0.2;1.0;0.035;86.0;0.98993;11.7;5
Vino_2849;6.6;0.31;1.5;0.033;144.0;0.99208;10.0;5
Vino_2850;7.7;0.43;10.0;0.169;210.0;0.99776;9.5;5
Vino_2851;6.7;0.24;14.9;0.053;136.0;0.99839;9.0;5
Vino_2852;7.3;0.23;9.3;0.052;86.0;0.99574;10.0;5
Vino_2853;7.9;0.2;1.0;0.041;154.0;0.99093;11.9;5
Vino_2854;5.3;0.16;1.0;0.028;101.0;0.99156;10.6;6
Vino_2855;6.4;0.21;5.9;0.047;101.0;0.99278;11.0;6
Vino_2856;6.9;0.33;5.0;0.027;143.0;0.9924;11.2;7
Vino_2857;5.6;0.18;1.25;0.034;129.0;0.98984;12.0;7
Vino_2858;6.6;0.29;3.9;0.027;96.0;0.99035;12.6;8
Vino_2859;6.9;0.33;5.0;0.027;143.0;0.9924;11.2;7
Vino_2860;6.6;0.21;0.8;0.034;113.0;0.99165;10.5;6
Vino_2861;7.3;0.21;1.0;0.037;144.0;0.9923;10.2;6
Vino_2862;6.4;0.21;5.9;0.047;101.0;0.99278;11.0;6
Vino_2863;5.1;0.11;1.6;0.028;90.0;0.99008;12.2;6
Vino_2864;6.5;0.15;1.3;0.036;76.0;0.98964;12.3;6
Vino_2865;5.3;0.16;1.0;0.028;101.0;0.99156;10.6;6
Vino_2866;5.6;0.19;1.1;0.032;115.0;0.9909;10.4;6
Vino_2867;5.6;0.18;1.25;0.034;129.0;0.98984;12.0;7
Vino_2868;6.7;0.48;1.4;0.021;121.0;0.9889;12.7;7
Vino_2869;6.2;0.23;1.2;0.018;128.0;0.99178;10.6;5
Vino_2870;6.0;0.17;5.0;0.028;108.0;0.99076;12.3;6
Vino_2871;6.7;0.48;1.4;0.021;121.0;0.9889;12.7;7
Vino_2872;6.7;0.15;1.7;0.037;84.0;0.99046;11.4;6
Vino_2873;4.2;0.17;1.8;0.029;161.0;0.98999;12.0;7
Vino_2874;5.8;0.21;1.6;0.045;95.0;0.98946;12.4;8
Vino_2875;5.4;0.23;1.5;0.03;121.0;0.98976;12.1;7
Vino_2876;6.7;0.15;1.7;0.037;84.0;0.99046;11.4;6
Vino_2877;6.4;0.22;13.9;0.04;135.0;0.99672;10.7;5
Vino_2878;6.5;0.15;5.9;0.045;162.0;0.99482;9.3;5
Vino_2879;5.9;0.32;2.1;0.027;138.0;0.98945;12.7;6
Vino_2880;5.7;0.37;1.1;0.029;88.0;0.98883;11.7;6
Vino_2881;7.9;0.25;6.7;0.039;64.0;0.99362;10.7;5
Vino_2882;7.2;0.21;2.7;0.033;94.0;0.99075;11.8;7
Vino_2883;7.0;0.24;6.7;0.039;125.0;0.99436;9.9;5
Vino_2884;6.8;0.475;3.95;0.047;81.0;0.98988;13.4;7
Vino_2885;7.0;0.28;7.75;0.032;114.0;0.99158;12.8;7
Vino_2886;6.9;0.4;10.6;0.033;87.0;0.99265;12.8;6
Vino_2887;6.6;0.41;1.6;0.042;101.0;0.99195;10.5;5
Vino_2888;6.4;0.2;2.5;0.032;84.0;0.99168;11.5;5
Vino_2889;8.5;0.22;0.7;0.04;25.0;0.9918;10.5;4
Vino_2890;8.4;0.36;11.1;0.032;132.0;0.99313;13.0;6
Vino_2891;5.2;0.285;5.15;0.035;138.0;0.9895;12.4;8
Vino_2892;6.9;0.2;4.7;0.041;148.0;0.9932;10.2;6
Vino_2893;6.7;0.42;9.7;0.054;234.0;0.99848;9.0;5
Vino_2894;6.2;0.16;1.7;0.038;153.0;0.9909;12.0;7
Vino_2895;6.4;0.125;1.4;0.044;68.0;0.99014;11.7;7
Vino_2896;6.4;0.44;2.0;0.054;180.0;0.9952;10.0;5
Vino_2897;7.0;0.31;7.5;0.055;218.0;0.99652;10.3;5
Vino_2898;6.7;0.42;9.7;0.054;234.0;0.99848;9.0;5
Vino_2899;8.6;0.18;0.8;0.032;78.0;0.99104;11.1;5
Vino_2900;6.2;0.21;13.1;0.05;150.0;0.99772;9.0;5
Vino_2901;6.1;0.16;1.1;0.031;97.0;0.9922;10.5;6
Vino_2902;6.5;0.22;2.2;0.028;92.0;0.99076;11.9;7
Vino_2903;6.2;0.36;8.9;0.036;155.0;0.99622;9.4;5
Vino_2904;5.7;0.21;1.1;0.035;81.0;0.9902;11.4;6
Vino_2905;6.4;0.25;0.9;0.034;114.0;0.99114;10.8;7
Vino_2906;7.6;0.31;1.7;0.073;157.0;0.9938;9.8;5
Vino_2907;6.6;0.26;6.9;0.047;183.0;0.99594;9.3;5
Vino_2908;5.7;0.21;1.1;0.035;81.0;0.9902;11.4;6
Vino_2909;6.2;0.2;1.0;0.031;73.0;0.99035;11.3;6
Vino_2910;6.2;0.18;1.0;0.031;73.0;0.99032;11.3;6
Vino_2911;6.1;0.37;7.6;0.031;170.0;0.99558;9.5;5
Vino_2912;6.2;0.36;8.9;0.036;155.0;0.99622;9.4;5
Vino_2913;6.5;0.22;2.2;0.028;92.0;0.99076;11.9;7
Vino_2914;7.7;0.18;1.2;0.046;199.0;0.99413;9.3;5
Vino_2915;6.9;0.14;1.0;0.041;81.0;0.99043;11.4;6
Vino_2916;6.9;0.14;1.0;0.041;81.0;0.99043;11.4;6
Vino_2917;6.0;0.44;3.1;0.053;128.0;0.98982;12.7;6
Vino_2918;7.1;0.36;1.95;0.033;118.0;0.98934;13.5;7
Vino_2919;5.7;0.28;2.2;0.019;65.0;0.9902;11.2;6
Vino_2920;6.4;0.16;8.75;0.038;118.0;0.99449;10.7;5
Vino_2921;7.4;0.28;11.9;0.032;92.0;0.99629;10.8;4
Vino_2922;6.7;0.39;2.7;0.054;202.0;0.9948;10.5;6
Vino_2923;6.5;0.44;5.45;0.014;137.0;0.98984;13.0;8
Vino_2924;6.9;0.22;6.3;0.029;131.0;0.99326;10.8;6
Vino_2925;6.6;0.22;14.4;0.046;118.0;0.99834;9.1;6
Vino_2926;7.7;0.25;7.8;0.038;196.0;0.99555;10.1;5
Vino_2927;5.2;0.155;1.6;0.028;59.0;0.98975;11.9;8
Vino_2928;7.0;0.31;9.1;0.036;140.0;0.99216;12.0;7
Vino_2929;7.0;0.31;9.1;0.036;140.0;0.99216;12.0;7
Vino_2930;6.6;0.22;14.4;0.046;118.0;0.99834;9.1;6
Vino_2931;5.6;0.21;1.3;0.041;147.0;0.9901;11.6;8
Vino_2932;5.2;0.155;1.6;0.028;59.0;0.98975;11.9;8
Vino_2933;6.4;0.25;11.3;0.038;192.0;0.99573;10.2;6
Vino_2934;6.9;0.22;6.3;0.029;131.0;0.99326;10.8;6
Vino_2935;5.3;0.21;0.7;0.028;66.0;0.99215;9.8;5
Vino_2936;7.1;0.27;1.25;0.023;89.0;0.98993;11.4;4
Vino_2937;5.2;0.17;0.7;0.03;68.0;0.99218;9.8;5
Vino_2938;7.7;0.25;7.8;0.038;196.0;0.99555;10.1;5
Vino_2939;7.0;0.12;10.3;0.039;98.0;0.99564;9.8;8
Vino_2940;7.0;0.12;10.3;0.039;98.0;0.99564;9.8;8
Vino_2941;7.1;0.29;7.8;0.036;128.0;0.99397;10.7;6
Vino_2942;7.2;0.3;8.7;0.022;111.0;0.99576;10.6;5
Vino_2943;6.8;0.26;8.3;0.037;173.0;0.99601;9.3;5
Vino_2944;7.0;0.12;10.3;0.039;98.0;0.99564;9.8;8
Vino_2945;7.1;0.29;7.8;0.036;128.0;0.99397;10.7;6
Vino_2946;4.9;0.33;1.2;0.016;150.0;0.98713;14.0;8
Vino_2947;5.1;0.29;8.3;0.026;107.0;0.99308;11.0;6
Vino_2948;5.1;0.29;8.3;0.026;107.0;0.99308;11.0;6
Vino_2949;6.8;0.26;6.2;0.049;182.0;0.99582;9.4;6
Vino_2950;6.0;0.28;5.0;0.078;139.0;0.99494;9.0;6
Vino_2951;6.0;0.28;1.8;0.042;108.0;0.9929;9.0;5
Vino_2952;7.2;0.2;1.6;0.044;101.0;0.99471;10.0;5
Vino_2953;6.1;0.27;1.8;0.041;109.0;0.9929;9.0;5
Vino_2954;6.0;0.28;1.8;0.042;108.0;0.9929;9.0;5
Vino_2955;6.4;0.29;2.9;0.036;79.0;0.99037;12.4;7
Vino_2956;7.4;0.35;6.0;0.042;123.0;0.99304;11.3;5
Vino_2957;8.1;0.12;0.9;0.034;86.0;0.99026;12.0;6
Vino_2958;6.4;0.12;1.1;0.031;94.0;0.98986;11.7;6
Vino_2959;7.2;0.2;1.6;0.044;101.0;0.99471;10.0;5
Vino_2960;7.3;0.4;5.45;0.016;90.0;0.98951;13.2;7
Vino_2961;7.7;0.11;14.05;0.04;114.0;0.99634;11.0;7
Vino_2962;6.9;0.23;8.0;0.03;114.0;0.99368;11.0;6
Vino_2963;6.9;0.38;13.1;0.112;94.0;0.99792;9.2;5
Vino_2964;7.5;0.38;4.9;0.021;113.0;0.99026;13.0;7
Vino_2965;5.8;0.19;1.3;0.044;128.0;0.99362;10.6;5
Vino_2966;5.5;0.34;2.2;0.021;119.0;0.98919;13.0;8
Vino_2967;6.6;0.23;14.9;0.051;118.0;0.99835;9.0;6
Vino_2968;6.6;0.23;14.9;0.051;118.0;0.99835;9.0;6
Vino_2969;8.4;0.31;0.95;0.021;148.0;0.99038;11.5;5
Vino_2970;6.7;0.2;1.4;0.025;76.0;0.99104;11.0;6
Vino_2971;8.4;0.31;0.95;0.021;148.0;0.99038;11.5;5
Vino_2972;7.3;0.26;1.7;0.05;112.0;0.99286;9.9;5
Vino_2973;6.3;0.22;5.6;0.039;128.0;0.99296;10.4;6
Vino_2974;6.6;0.23;14.9;0.051;118.0;0.99835;9.0;6
Vino_2975;7.5;0.19;7.1;0.056;110.0;0.9954;9.9;6
Vino_2976;8.0;0.14;1.2;0.045;162.0;0.9914;11.0;6
Vino_2977;6.8;0.32;9.6;0.026;124.0;0.99286;12.1;6
Vino_2978;6.6;0.23;11.4;0.044;131.0;0.99604;9.7;6
Vino_2979;6.6;0.23;11.4;0.044;131.0;0.99604;9.7;6
Vino_2980;6.7;0.36;7.9;0.034;123.0;0.99119;12.2;7
Vino_2981;6.1;0.38;5.0;0.016;113.0;0.99007;12.4;7
Vino_2982;8.5;0.23;11.1;0.033;97.0;0.99507;10.5;7
Vino_2983;7.0;0.2;8.0;0.05;213.0;0.99596;10.4;6
Vino_2984;6.0;0.26;3.8;0.029;180.0;0.99011;12.0;6
Vino_2985;6.9;0.3;10.55;0.037;28.0;0.99184;12.7;6
Vino_2986;6.7;0.18;10.2;0.039;115.0;0.99469;10.9;7
Vino_2987;6.7;0.18;10.2;0.039;115.0;0.99469;10.9;7
Vino_2988;6.8;0.18;9.8;0.039;113.0;0.99406;10.9;7
Vino_2989;7.2;0.19;6.3;0.034;103.0;0.99305;11.4;7
Vino_2990;6.2;0.16;1.1;0.036;184.0;0.99096;11.0;6
Vino_2991;5.0;0.27;4.5;0.032;178.0;0.98956;12.6;7
Vino_2992;6.3;0.37;6.3;0.034;152.0;0.9921;11.6;7
Vino_2993;6.6;0.2;10.9;0.038;130.0;0.99496;10.5;7
Vino_2994;6.8;0.18;9.8;0.039;113.0;0.99406;10.9;7
Vino_2995;6.8;0.18;9.8;0.039;113.0;0.99406;10.9;7
Vino_2996;6.6;0.28;0.8;0.037;119.0;0.9888;12.5;6
Vino_2997;6.5;0.35;0.8;0.034;111.0;0.98942;12.1;8
Vino_2998;6.9;0.25;1.2;0.035;158.0;0.99082;11.3;6
Vino_2999;6.0;0.32;1.3;0.025;112.0;0.98802;13.3;7
Vino_3000;6.8;0.18;9.8;0.039;113.0;0.99406;10.9;7
Vino_3001;6.7;0.18;10.2;0.039;115.0;0.99469;10.9;7
Vino_3002;6.6;0.2;10.9;0.038;130.0;0.99496;10.5;7
Vino_3003;6.3;0.37;6.3;0.034;152.0;0.9921;11.6;7
Vino_3004;7.2;0.19;6.3;0.034;103.0;0.99305;11.4;7
Vino_3005;6.3;0.18;1.2;0.034;111.0;0.99074;11.0;6
Vino_3006;6.9;0.3;0.9;0.037;156.0;0.98968;12.1;6
Vino_3007;6.2;0.16;1.1;0.036;184.0;0.99096;11.0;6
Vino_3008;5.0;0.27;4.5;0.032;178.0;0.98956;12.6;7
Vino_3009;5.0;0.3;3.7;0.03;173.0;0.9887;13.0;7
Vino_3010;6.5;0.2;18.1;0.054;221.0;0.99941;8.8;6
Vino_3011;6.7;0.25;1.35;0.061;218.0;0.99388;9.5;5
Vino_3012;6.6;0.22;5.5;0.029;105.0;0.99206;11.8;6
Vino_3013;6.8;0.25;3.1;0.026;93.0;0.99035;12.2;6
Vino_3014;7.0;0.13;12.85;0.042;105.0;0.99581;10.7;6
Vino_3015;7.0;0.45;19.8;0.04;67.0;0.9976;11.0;6
Vino_3016;7.2;0.32;8.25;0.02;104.0;0.99362;11.4;6
Vino_3017;7.0;0.13;12.85;0.042;105.0;0.99581;10.7;6
Vino_3018;5.9;0.34;3.8;0.035;135.0;0.99016;12.0;6
Vino_3019;6.8;0.22;6.9;0.037;121.0;0.99176;11.9;8
Vino_3020;7.2;0.32;8.25;0.02;104.0;0.99362;11.4;6
Vino_3021;8.4;0.32;11.7;0.029;46.0;0.99439;11.8;6
Vino_3022;6.8;0.27;4.6;0.046;88.0;0.99458;10.6;4
Vino_3023;8.0;0.74;4.0;0.05;133.0;0.99418;9.7;5
Vino_3024;7.0;0.45;19.8;0.04;67.0;0.9976;11.0;6
Vino_3025;7.0;0.13;12.85;0.042;105.0;0.99581;10.7;6
Vino_3026;5.4;0.22;1.2;0.045;152.0;0.99178;11.0;7
Vino_3027;8.4;0.22;8.9;0.024;118.0;0.99456;10.5;6
Vino_3028;7.4;0.32;11.7;0.035;150.0;0.99578;10.4;5
Vino_3029;7.5;0.18;6.2;0.05;138.0;0.99546;10.5;6
Vino_3030;7.1;0.47;14.8;0.024;142.0;0.99518;12.0;8
Vino_3031;7.1;0.47;14.8;0.024;142.0;0.99518;12.0;8
Vino_3032;5.8;0.19;10.8;0.042;124.0;0.99646;9.2;6
Vino_3033;6.7;0.14;1.6;0.036;92.0;0.99264;10.9;5
Vino_3034;6.8;0.24;8.3;0.045;185.0;0.99578;9.5;6
Vino_3035;6.9;0.25;8.4;0.042;156.0;0.99604;9.4;6
Vino_3036;6.0;0.24;2.5;0.026;85.0;0.99014;11.3;7
Vino_3037;6.8;0.29;3.5;0.054;189.0;0.99489;10.4;5
Vino_3038;6.3;0.33;17.2;0.037;170.0;0.99884;9.4;6
Vino_3039;6.5;0.23;2.1;0.027;104.0;0.99054;11.3;6
Vino_3040;6.3;0.27;12.2;0.044;196.0;0.99782;8.8;6
Vino_3041;6.3;0.2;11.8;0.045;130.0;0.99519;10.8;5
Vino_3042;6.2;0.33;16.8;0.037;173.0;0.99882;9.4;6
Vino_3043;6.3;0.33;17.2;0.037;170.0;0.99884;9.4;6
Vino_3044;7.2;0.21;1.1;0.154;114.0;0.9931;9.2;6
